country_code,year,eurostat_production,fao_production,eumofa_production,eurostat_value,fao_value,eumofa_value,ratio_es_fao,ratio_es_eumo,logdiff_es_fao,logdiff_es_eumo,flag_large_gap_fao,flag_large_gap_eumo,notes
EL,2023,4613,NA,185,17355870,NA,357420,NA,24.935135135135134,8.4368504387337,3.211103765020498,FALSE,TRUE,"FAO missing, Eurostat present"
ES,2018,32235,NA,361,104038514,NA,3602000,NA,89.29362880886427,10.380839119444403,4.489194907618631,FALSE,TRUE,"FAO missing, Eurostat present"
ES,2019,32767,NA,508,112516454,NA,4398619,NA,64.50196850393701,10.39720770839918,4.164759691848657,FALSE,TRUE,"FAO missing, Eurostat present"
ES,2020,31945,NA,456,105548078,NA,3861715,NA,70.0548245614035,10.371802256349902,4.247118865455697,FALSE,TRUE,"FAO missing, Eurostat present"
ES,2021,36407,NA,145,126191511,NA,1078269,NA,251.08275862068965,10.502543809696478,5.518937187988142,FALSE,TRUE,"FAO missing, Eurostat present"
ES,2022,33027,NA,396,126963518,NA,4244012,NA,83.40151515151516,10.40511096553732,4.421174684850129,FALSE,TRUE,"FAO missing, Eurostat present"
ES,2023,35180,NA,73,158386225,NA,462380,NA,481.9178082191781,10.468261443129174,6.164196349925004,FALSE,TRUE,"FAO missing, Eurostat present"
FI,2018,4530,NA,NA,21444102,NA,NA,NA,NA,8.418697944667139,8.418697944667139,FALSE,FALSE,"FAO missing, Eurostat present"
FI,2019,4847,NA,NA,18102051,NA,NA,NA,NA,8.48632152774915,8.48632152774915,FALSE,FALSE,"FAO missing, Eurostat present"
FI,2020,5811,NA,NA,20981338,NA,NA,NA,NA,8.667680024690174,8.667680024690174,FALSE,FALSE,"FAO missing, Eurostat present"
FI,2021,5390,NA,NA,23263240,NA,NA,NA,NA,8.592486175451668,8.592486175451668,FALSE,FALSE,"FAO missing, Eurostat present"
FI,2022,5965,NA,NA,32577049,NA,NA,NA,NA,8.693831965074693,8.693831965074693,FALSE,FALSE,"FAO missing, Eurostat present"
FI,2023,6336,NA,NA,35761162,NA,NA,NA,NA,8.754160749323518,8.754160749323518,FALSE,FALSE,"FAO missing, Eurostat present"
FI,2024,8271,NA,NA,43454593,NA,NA,NA,NA,9.02063159674821,9.02063159674821,FALSE,FALSE,"FAO missing, Eurostat present"
FR,2018,76722,NA,3798,283808045,NA,13748000,NA,20.200631911532387,11.247956812025341,3.0054636588377157,FALSE,TRUE,"FAO missing, Eurostat present"
FR,2019,78357,NA,3655,297991831,NA,16006249,NA,21.43830369357045,11.269043348506619,3.0649184159325777,FALSE,TRUE,"FAO missing, Eurostat present"
FR,2020,81671,NA,3340,311359416,NA,14969932,NA,24.45239520958084,11.31046650484885,3.1964410624920934,FALSE,TRUE,"FAO missing, Eurostat present"
FR,2021,75814,NA,3187,314875528,NA,15421741,NA,23.788515845622843,11.23605144123504,3.1689024013249334,FALSE,TRUE,"FAO missing, Eurostat present"
FR,2022,71774,NA,3446,319548036,NA,16381183,NA,20.828206616366803,11.181291504989264,3.0360319384723997,FALSE,TRUE,"FAO missing, Eurostat present"
FR,2023,67053,NA,5679,341732354,NA,28573140,NA,11.807184363444268,11.113253543902827,2.4685470321876295,FALSE,TRUE,"FAO missing, Eurostat present"
FR,2024,78486,NA,NA,416966035,NA,NA,NA,NA,11.27068828496092,11.27068828496092,FALSE,FALSE,"FAO missing, Eurostat present"
HR,2018,5798,2899,2529,13482128,6769454,5378000,2,2.292605773032819,0.6929747519018745,0.8294661861548738,FALSE,FALSE,
HR,2019,6201,3100,2728,14195156,7075467,5727432,2.0003225806451614,2.2730938416422286,0.6931471805599454,0.8209365789520557,FALSE,FALSE,
HR,2020,5557,2732,2388,12407013,6049078,4677074,2.0340409956076133,2.3270519262981573,0.7098384243743814,0.8443634629766397,FALSE,FALSE,
HR,2021,8281,4143,3690,18387733,9204773,7547190,1.9987931450639633,2.2441734417344175,0.6924229801661941,0.8081870610755146,FALSE,FALSE,
HR,2022,8234,4117,3693,21216949,10606049,8769907,2,2.2296236122393718,0.6930257550240064,0.8016834818525549,FALSE,FALSE,
HR,2023,7353,3676,3238,26987699,13416768,11394220,2.000272034820457,2.2708462013588635,0.6931471805599454,0.8199797426898883,FALSE,FALSE,
HR,2024,8863,NA,NA,28954965,NA,NA,NA,NA,9.089753408987065,9.089753408987065,FALSE,FALSE,"FAO missing, Eurostat present"
HU,2018,35801,17852,17827,77509990,38538333,38467000,2.0054335648666815,2.0082459191114603,0.6958321964371752,0.6972335026836909,FALSE,FALSE,
HU,2019,34630,17283,17239,71970677,35920179,35674249,2.0037030608112016,2.008817216775915,0.6949680166242267,0.6975169694583663,FALSE,FALSE,
HU,2020,36770,18436,22115,69683775,35732770,41005875,1.9944673464959861,1.6626723943025097,0.6903499759388847,0.5084081625514525,FALSE,FALSE,
HU,2021,35911,18025,17882,77541214,38483582,38258905,1.9922884882108183,2.008220556984677,0.6892563413454127,0.6972209605737323,FALSE,FALSE,
HU,2022,37414,18557,18646,106604291,54304484,53006770,2.0161664062079,2.0065429582752334,0.7011707306013335,0.6963864182903645,FALSE,FALSE,
HU,2023,35697,17785,17773,118746186,61035487,58819110,2.0071408490300815,2.0084960333089517,0.6966830338298688,0.6973579494910336,FALSE,FALSE,
HU,2024,38971,NA,NA,119248561,NA,NA,NA,NA,10.570598718545233,10.570598718545233,FALSE,FALSE,"FAO missing, Eurostat present"
IE,2019,1216,NA,NA,3351296,NA,NA,NA,NA,7.104144092987527,7.104144092987527,FALSE,FALSE,"FAO missing, Eurostat present"
IE,2020,1208,NA,NA,3765336,NA,NA,NA,NA,7.097548850614793,7.097548850614793,FALSE,FALSE,"FAO missing, Eurostat present"
IE,2021,1074,NA,NA,3523794,NA,NA,NA,NA,6.980075940561763,6.980075940561763,FALSE,FALSE,"FAO missing, Eurostat present"
IE,2022,796,NA,NA,814308,NA,NA,NA,NA,6.680854678790215,6.680854678790215,FALSE,FALSE,"FAO missing, Eurostat present"
IE,2023,0,NA,NA,0,NA,NA,NA,NA,0,0,FALSE,FALSE,"FAO missing, Eurostat present"
IE,2024,1000,NA,NA,2997000,NA,NA,NA,NA,6.90875477931522,6.90875477931522,FALSE,FALSE,"FAO missing, Eurostat present"
IS,2020,10566,NA,NA,73701047,NA,NA,NA,NA,9.265491216441031,9.265491216441031,FALSE,FALSE,"FAO missing, Eurostat present"
IS,2021,11454,NA,NA,70714870,NA,NA,NA,NA,9.346181594887597,9.346181594887597,FALSE,FALSE,"FAO missing, Eurostat present"
IS,2022,10566,NA,NA,80100147,NA,NA,NA,NA,9.265491216441031,9.265491216441031,FALSE,FALSE,"FAO missing, Eurostat present"
IS,2023,11276,NA,NA,85567847,NA,NA,NA,NA,9.330520532232288,9.330520532232288,FALSE,FALSE,"FAO missing, Eurostat present"
IT,2018,73473,NA,2477,240404264,NA,19662000,NA,29.662091239402503,11.204686881123047,3.3894798189339594,FALSE,TRUE,"FAO missing, Eurostat present"
IT,2019,82750,NA,2472,276181292,NA,16950529,NA,33.474919093851135,11.323591377758436,3.5104041102370207,FALSE,TRUE,"FAO missing, Eurostat present"
IT,2020,72966,NA,1891,234944751,NA,11600943,NA,38.58593336858805,11.197762563128435,3.652372813516612,FALSE,TRUE,"FAO missing, Eurostat present"
IT,2021,88609,NA,2285,316399212,NA,15140190,NA,38.77855579868709,11.391999997041347,3.6574411526865918,FALSE,TRUE,"FAO missing, Eurostat present"
